channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
8374348,8388607,-3592189,-106426,8388607,-7432132,-3450042,2677849,1405125868.525694,7
8374189,8388607,-3591932,-105927,8388607,-7431859,-3449732,2678408,1405125868.528679,7
8374208,8388607,-3591857,-105774,8388607,-7431767,-3450066,2678506,1405125868.537492,7
8374419,8388607,-3591193,-104960,8388607,-7431856,-3449658,2679171,1405125868.541943,7
8374179,8388607,-3590722,-104294,8388607,-7431532,-3448972,2679881,1405125868.547169,7
8374589,8388607,-3591506,-105541,8388607,-7431867,-3450212,2679341,1405125868.558421,7
8374411,8388607,-3590733,-104381,8388607,-7431562,-3449103,2680451,1405125868.564683,7
8374475,8388607,-3591257,-105146,8388607,-7431546,-3450290,2679914,1405125868.575963,7
8374538,8388607,-3590881,-104667,8388607,-7431533,-3449904,2680423,1405125868.580542,7
8374445,8388607,-3590240,-103627,8388607,-7431305,-3449249,2681274,1405125868.5926,7
8374733,8388607,-3590787,-104398,8388607,-7431506,-3450159,2680973,1405125868.598584,7
8374434,8388607,-3590080,-103373,8388607,-7431059,-3449153,2682113,1405125868.606307,7
8374664,8388607,-3590549,-104127,8388607,-7431253,-3449968,2681688,1405125868.609724,7
8374533,8388607,-3589791,-103121,8388607,-7430989,-3449144,2682694,1405125868.612989,7
8374483,8388607,-3589769,-103044,8388607,-7430831,-3449642,2682692,1405125868.620454,7
8374607,8388607,-3589491,-102656,8388607,-7430845,-3449382,2683209,1405125868.626573,7
8374605,8388607,-3589221,-102267,8388607,-7430779,-3448939,2683689,1405125868.633,7
8374731,8388607,-3589861,-103401,8388607,-7430813,-3449991,2683302,1405125868.643214,7
8374652,8388607,-3588897,-101899,8388607,-7430584,-3448731,2684568,1405125868.649037,7
8374867,8388607,-524288,1046865,-5242881,-448683,-2109981,1048575,1405125868.661558,7
8374871,8388607,-3589161,-102236,8388607,-7430672,-3449641,2684468,1405125868.664956,7
8374718,8388607,-3588891,-101864,8388607,-7430386,-3449128,2685242,1405125868.673198,7
8374700,8388607,-3588783,-101697,8388607,-7430261,-3449602,2685367,1405125868.676303,7
8374636,8388607,-3588220,-100873,8388607,-7430112,-3448730,2686238,1405125868.681558,7
8375057,8388607,-3589031,-102034,8388607,-7430456,-3449886,2685749,1405125868.690037,7
8374928,8388607,-3588188,-100774,8388607,-7430185,-3448936,2686803,1405125868.694016,7
8374956,8388607,-3588602,-101465,8388607,-7430117,-3449602,2686708,1405125868.704416,7
8375087,8388607,-3588569,-101459,8388607,-7430191,-3449751,2686824,1405125868.709847,7
8374648,8388607,-3587554,-99851,8388607,-7429604,-3448612,2688021,1405125868.716129,7
8374919,8388607,-3588332,-100945,8388607,-7429811,-3449914,2687379,1405125868.726773,7
8374779,8388607,-3587586,-99973,8388607,-7429521,-3448599,2688764,1405125868.731896,7
8375134,8388607,-3587759,-100275,8388607,-7429829,-3449159,2688572,1405125868.743928,7
8374901,8388607,-3587276,-99579,8388607,-7429479,-3449051,2689000,1405125868.747826,7
8374854,8388607,-3587207,-99372,8388607,-7429313,-3449032,2689378,1405125868.755705,7
8375010,8388607,-3587216,-99404,8388607,-7429377,-3449297,2689559,1405125868.759051,7
